Time,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
510.0,0.006287,0.001575,0.003693,0.005168,0.00925,0.024069,0.005794,0.001251,0.001274,0.003269,0.00624,0.001223,0.005426,0.003691,0.001755,0.008063,0.015999,0.003917,0.001352
515.0,0.0,0.001248,0.003408,0.005564,0.008304,0.009176,0.005937,0.001122,0.001395,0.002922,0.00633,0.001146,0.003743,0.003332,0.001307,0.003437,0.003416,0.003764,0.001155
520.0,0.006325,0.001512,0.003517,0.005071,0.018458,0.012455,0.007264,0.001196,0.001236,0.00798,0.007648,0.001179,0.003773,0.006919,0.010773,0.008289,0.00516,0.004829,0.001306
525.0,0.005284,0.001124,0.003504,0.004761,0.004713,0.0095,0.006758,0.001118,0.001235,0.003156,0.004496,0.001047,0.003612,0.006788,0.00122,0.011331,0.003169,0.003142,0.00115
530.0,0.009496,0.001299,0.003155,0.005754,0.004924,0.009111,0.006999,0.001179,0.001433,0.002537,0.003085,0.001065,0.003318,0.003042,0.002924,0.003686,0.003387,0.003276,0.001365
535.0,0.006356,0.001583,0.003671,0.003755,0.005666,0.017321,0.013932,0.001226,0.00132,0.003028,0.003681,0.001351,0.003844,0.009592,0.001299,0.003488,0.003564,0.010847,0.001601
540.0,0.007363,0.001174,0.003573,0.004829,0.005146,0.010074,0.006355,0.001263,0.002035,0.00749,0.006804,0.001118,0.003537,0.003305,0.00138,0.003942,0.004224,0.003336,0.00124
545.0,0.006112,0.0,0.003693,0.004911,0.00647,0.008434,0.00592,0.001637,0.001216,0.0029,0.007889,0.001451,0.003734,0.007731,0.001201,0.003245,0.0228,0.002923,0.001184
550.0,0.007046,0.001418,0.00521,0.003547,0.006406,0.009234,0.006057,0.002097,0.001349,0.002914,0.00509,0.001146,0.003585,0.003845,0.001358,0.013561,0.003278,0.00517,0.00158
555.0,0.005993,0.0,0.003673,0.004828,0.005027,0.011655,0.006374,0.001154,0.001154,0.002961,0.004813,0.001338,0.003998,0.003247,0.002406,0.012901,0.003094,0.003501,0.001678
560.0,0.005975,0.001053,0.003284,0.003075,0.005878,0.011657,0.013591,0.001157,0.00116,0.006587,0.004924,0.001155,0.003292,0.007867,0.001328,0.003429,0.0,0.002921,0.001274
565.0,0.0,0.001329,0.003335,0.005381,0.005047,0.008411,0.006558,0.001813,0.001164,0.002781,0.004816,0.001577,0.003463,0.003464,0.001085,0.003859,0.003427,0.004699,0.001146
570.0,0.006342,0.001325,0.00365,0.005734,0.007554,0.011333,0.006683,0.001134,0.001119,0.002506,0.004494,0.00127,0.003354,0.006458,0.00161,0.003424,0.003373,0.00316,0.001147
575.0,0.005869,0.0014,0.003408,0.005652,0.008005,0.009371,0.006221,0.001395,0.001471,0.003201,0.003448,0.001139,0.003617,0.003618,0.001954,0.013838,0.003618,0.005892,0.00145
